es,en,de,fr,it
cucaracha,cockroach,Kakerlake,cafard,scarafaggio
caracol,snail,Schnecke,escargot,lumaca
babosa,slug,Slug,limace,lumaca
lombriz,worm,Wurm,ver,verme
marisco,seafood,Meeresfrüchte,fruit de mer,frutti di mare
molusco,mollusk,Weichtier,mollusque,mollusco
lagarto,lizard,Eidechse,lézard,lucertola
serpiente,snake,Schlange,serpent,serpente
cocodrilo,crocodile,Krokodil,crocodile,coccodrillo
Plantas y alimentos,Plants and food,Pflanzen und Nahrung,Plantes et nourriture,Piante e cibo
alimento,food,Essen,nourriture,cibo
comida,meal,Mahlzeit,repas,pasto
bebida,drink,trinken,boire,bere
vegetal,vegetable,Gemüse,légume,verdura
planta,plant,Anlage,usine,pianta
"pasto, césped",grass,Gras,herbe,erba
flor,flower,Blume,fleur,fiore
fruta,fruit,Frucht,fruit,frutta
semilla,seed,Samen,graine,seme
árbol,tree,Baum,arbre,albero
hoja,sheet,Blatt,feuille,foglio
raíz,root,Wurzel,racine,radice
tallo,stem,Stengel,tige,stelo
hongo,fungus,Pilz,champignon,fungo
ciruela,plum,Pflaume,prune,prugna
pino,Pine tree,Kiefer,pin,Pino
bambú,bamboo,Bambus,bambou,bambù
nuez,nut,Mutter,noix,noce
almendra,almond,Mandel,amande,mandorla
castaña,Chestnut,Kastanie,châtaigne,Castagna
arroz,rice,Reis,riz,riso
avena,oatmeal,Haferflocken,gruau,fiocchi d'avena
cebada,barley,Gerste,orge,orzo
trigo,wheat,Weizen,blé,grano
verdura,vegetable,Gemüse,légume,verdura
"patatas, papas","potatoes, potatoes","Kartoffeln, Kartoffeln","pommes de terre, pommes de terre","patate, patate"
"judías, guisantes, porotos","Jewish, peas, beans","Jüdisch, Erbsen, Bohnen","Juif, pois, haricots","Ebrei, piselli, fagioli"
rábano,radish,Rettich,un radis,ravanello
zanahoria,carrot,Karotte,carotte,carota
manzana,apple,Apfel,pomme,mela
naranja,orange,orange,Orange,arancia
plátano,banana,Banane,banane,banana
pera,pear,Birne,poire,Pera
castaño,chestnut,Kastanie,châtain,Castagna
durazno,peach,Pfirsich,pêche,pesca
tomate,tomato,Tomate,tomate,pomodoro
sandía,watermelon,Wassermelone,melon d'eau,anguria
carne,meat,Fleisch,viande,carne
gaseosa,soda,Limonade,un soda,bibita
Tiempo,Time,Zeit,Temps,Tempo
tiempo,time,Zeit,temps,tempo
calendario,calendar,Kalender,calendrier,calendario
edad,age,Alter,âge,età
"época, era","time, it was",Zeit war es,"le temps, c'était","tempo, lo era"
fecha,date,Datum,date,data
instante,instant,sofortig,instantané,immediato
momento,moment,Moment,moment,momento
segundo,second,zweite,deuxième,secondo
minuto,minute,Minute,minute,minuto
hora,hour,Stunde,heure,ora
día,day,Tag,jour,giorno
semana,week,Woche,semaine,settimana
entre semana,weekday,Wochentag,entre semaine,giorni feriali
fin de semana,weekend,Wochenende,week-end,fine settimana
mes,month,Monat,mois,mese
año,year,Jahr,année,anno
década,decade,Jahrzehnt,décennie,decennio
siglo,century,Jahrhundert,siècle,secolo
milenio,millennium,Millennium,millénaire,millennio
ayer,yesterday,gestern,hier,Ieri
hoy,today,Heute,aujourd'hui,Oggi
mañana,tomorrow,morgen,matin,Domani
amanecer,sunrise,Sonnenaufgang,lever du soleil,alba
mediodía,noon,Mittag,midi,mezzogiorno
tarde,late,spät,en retard,tardi
anochecer,to become night,Nacht werden,devenir nuit,diventare notte
noche,evening,Abend,nuit,sera
lunes,Monday,Montag,Lundi,Lunedi
martes,Tuesday,Dienstag,Mardi,Martedì
miércoles,Wednesday,Mittwoch,Mercredi,Mercoledì
jueves,Thursday,Donnerstag,Jeudi,Giovedì
viernes,Friday,Freitag,Vendredi,Venerdì
sábado,Saturday,Samstag,Samedi,Sabato
domingo,Sunday,Sonntag,Dimanche,Domenica
Espacio,Space,Raum,Espace,Spazio
ambiente,atmosphere,Atmosphäre,atmosphère,atmosfera
espacio,space,Raum,espace,spazio
entorno,around,um,autour,in giro
área,area,Bereich,zone,la zona
superficie,surface,Oberfläche,surface,superficie
volumen,volume,Volumen,volume,volume
región,region,Region,région,regione
zona,zone,Zone,zone,zona
lado,side,Seite,côté,lato
mundo,world,Welt,monde,mondo
planeta,planet,Planet,planète,pianeta
sol,sun,Sonne,soleil,sole
luna,moon,Mond,lune,luna
estrella,star,Stern,Etoile,stella
galaxia,galaxy,Galaxis,galaxie,galassia
universo,universe,Universum,univers,universo
clima,climate,Klima,climat,clima
despejado (adj.),Clear (adj.),Klar (adj.),Clear (adj.),Clear (agg.)
nublado (adj.),cloudy (adj.),bewölkt (adj.),nuageux (adj.),nuvoloso (agg.)
lluvia,rain,Regen,pluie,piovere
nieve,snow,Schnee,neige,nevicare
viento,wind,Wind,vent,vento
trueno,thunder,Donner,tonnerre,tuono
rayo,ray,Strahl,rayon,Ray
tormenta,storm,Sturm,tempête,tempesta
cielo,darling,Schatz,chéri,Tesoro
este,this,Das,ce,Questo
oeste,west,West,Ouest,ovest
sur,south,Süd,sud,Sud
norte,north,Norden,nord,nord
derecha,right,Rechts,droite,Giusto
izquierda,left,links,gauche,Sinistra
diagonal,diagonal,Diagonale,diagonale,diagonale
exterior,abroad,im Ausland,à l'étranger,all'estero
interior,inside,innen,à l'intérieur,dentro
Materiales,Materials,Materialien,Matériaux,Materiali
calor,heat,Hitze,chaleur,Calore
agua,water,Wasser,eau,acqua
hielo,ice,Eis,glace,ghiaccio
vapor,steam,Dampf,fumer,vapore
fuego,fire,Feuer,feu,fuoco
gas,gas,Gas,gaz,gas
"aire, atmósfera","air, atmosphere","Luft, Atmosphäre","Air, atmosphère","aria, atmosfera"
tierra,land,Land,atterrir,terra
piso,floor,Boden,appartement,pavimento
suelo,floor,Boden,sol,pavimento
"metal, metálico (adj.)","metal, metallic (adj.)","Metall, Metallic (adj.)","métal, métallique (adj.)","metallo, metallico (agg.)"
hierro,iron,Eisen,fer,ferro
oro,gold,Gold,or,oro
plata,silver,Silber,argent,argento
plomo,lead,führen,plomb,Guida
sal,salt,Salz,sel,sale
"barro, lodo","mud, mud","Schlamm, Schlamm","boue, boue","fango, fango"
Medidas,Measures,Mittel,Mesures,Le misure
peso,weight,Gewicht,lester,peso
metro,meter,Meter,mètre,metro
"milímetro, centímetro, kilómetro","millimeter, centimeter, kilometer","Millimeter, Zentimeter, Kilometer","millimètre, centimètre, kilomètre","millimetro, centimetro, chilometro"
litro,liter,Liter,litre,litro
gramo,gram,Gramm,gramme,grammo
kilo,kilo,Kilo,kilo,chilo
cantidad,amount,Menge,montant,quantità
total,total,gesamt,total,totale
medida,extent,Ausmaß,étendue,estensione
Sociedad,Society,Gesellschaft,Société,Società
sociedad,society,Gesellschaft,société,società
comunidad,community,Gemeinschaft,communauté,Comunità
reunión,meeting,treffen,réunion,incontro
encuentro,meeting,treffen,réunion,incontro
estructura,structure,Struktur,structure,struttura
administración,administration,Verwaltung,administration,amministrazione
organización,organization,Organisation,organisation,organizzazione
asociación,association,Verband,association,associazione
empresa,company,Unternehmen,entreprise,azienda
equipo,equipment,Ausrüstung,équipe,attrezzatura
autoridad,authority,Behörde,autorité,autorità
cargo,post,Post,poste,inviare
campaña,Campaign,Kampagne,cloche,Campagna
club,club,Verein,club,club
comisión,commission,Kommission,commission,commissione
congreso,congress,Kongress,congrès,congresso
consejo,advice,Beratung,Conseil,consiglio
partido,game,Spiel,jeu,gioco
país,country,Land,Pays,Paese
nación,nation,Nation,nation,nazione
gobierno,government,Regierung,gouvernement,governo
estado,state,Zustand,État,stato
provincia,province,Provinz,province,Provincia
departamento,department,Abteilung,département,Dipartimento
municipio,municipality,Gemeinde,municipalité,comune
democracia,democracy,Demokratie,démocratie,democrazia
dictadura,dictatorship,Diktatur,dictature,dittatura
política,policy,Politik,politique,politica
político,political,politisch,politique,politico
presidente,president,Präsident,président,Presidente
ministro,Minister,Minister,Ministre,Ministro
director,director,Direktor,directeur,direttore
"parlamentario, congresista, senador, diputado","parliamentary, congressman, senator, deputy","parlamentarisch, Kongressabgeordneter, Senator, Abgeordneter","Parlementaire, membre du Congrès, sénateur, adjoint","parlamentare, deputato, senatore, deputato"
representante,representative,Vertreter,représentant,rappresentante
"gobernador, intendente, alcalde","Governor, Mayor, Mayor","Gouverneur, Bürgermeister, Bürgermeister","Gouverneur, maire, maire","Governatore, sindaco, sindaco"
policía,police,Polizei,police,Polizia Stradale
bomberos,firefighters,Feuerwehrleute,sapeurs pompiers,Pompiere
capital,capital,Hauptstadt,capitale,capitale
ciudad,city,Stadt,ville,città
población,population,Bevölkerung,Ville,popolazione
pueblo,town,Stadt,ville,città
villa,town,Stadt,ville,città
obligación,obligation,Verpflichtung,obligation,obbligo
libertad,freedom,Freiheit,liberté,libertà
derecho,right,Rechts,droite,Giusto
permiso,permission,Erlaubnis,autorisation,autorizzazione
prohibición,prohibition,Verbot,interdiction,divieto
constitución,Constitution,Verfassung,Constitution,Costituzione
ley,law,Gesetz,loi,legge
decreto,decree,Dekret,décret,decreto
norma,rule,Regel,règle,regola
Economía,Economy,Wirtschaft,Économie,Economia
economía,economy,Wirtschaft,économie,economia
consumo,consumption,Verbrauch,consommation,consumo
demanda,demand,Nachfrage,demande,richiesta
compañía,company,Unternehmen,compagnie,azienda
comercio,trade,handeln,commerce,commercio
mercado,market,Markt,marché,mercato
servicio,service,Service,service,servizio
producto,product,Produkt,produit,Prodotto
producción,production,Produktion,production,produzione
transacción,transaction,Transaktion,transaction,transazione
almacén,store,speichern,magasin,negozio
hotel,hotel,Hotel,hôtel,Hotel
fábrica,factory,Fabrik,usine,fabbrica
cuenta,account,Konto,compte,account
boleto,ticket,Fahrkarte,billet,biglietto
entrada,entrance,Eingang,entrée,Entrata
dinero,money,Geld,argent,soldi
billete,ticket,Fahrkarte,billet,biglietto
"vuelto, cambio","Return, change","Rückkehr, Veränderung","Retour, changer","Ritorno, cambiamento"
máquina expendedora,Vending machine,Verkaufsautomat,Distributeur automatique,Distributore automatico
"precio, tarifa","price, rate",Preisrate,"prix, taux","prezzo, tasso"
valor,worth,Wert,valeur,Di valore
Objetos hechos por el ser humano,Objects made by the human being,Objekte des Menschen gemacht,Objets faits par l'être humain,Oggetti realizzati dall'essere umano
Hogar,Home,Heim,foyer,Casa
escritorio,desk,Schreibtisch,bureau,scrivania
silla,chair,Stuhl,chaise,sedia
mesa,table,Tisch,tableau,tavolo
cama,bed,Bett,lit,letto
dormitorio,bedroom,Schlafzimmer,chambre à coucher,camera da letto
habitación,room,Zimmer,chambre,camera
cuarto,room,Zimmer,chambre,camera
oficina,office,Büro,bureau,ufficio
panel,panel,Panel,panneau,pannello
puerta,door,Tür,porte,porta
ventana,window,Fenster,fenêtre,finestra
entrada,entrance,Eingang,entrée,Entrata
hogar,home,heim,foyer,casa
casa,home,heim,maison,casa
"apartamento, departamento","Apartment, department","Wohnung, Abteilung","Appartement, département","Appartamento, dipartimento"
edificio,building,Gebäude,bâtiment,edificio
construcción,construction,Konstruktion,construction,costruzione
"elevador, ascensor","elevator, elevator","Aufzug, Aufzug","ascenseur, ascenseur","Elevatore, ascensore"
escalera,ladder,Leiter,Escalier,scala
Herramientas,Tools,Werkzeug,Outils,Utensili
aparato,apparatus,Gerät,appareil,Apparato
cámara,camera,Kamera,caméra,telecamera
aguja,needle,Nadel,aiguille,ago
clavo,nail,Nagel,clou,chiodo
hilo,thread,Gewinde,fil,filo
"cuerda, cordel, cordón","rope, string, cord","Seil, Schnur, Kabel","corde, corde, cordon","corda, corda, cavo"
bolsillo,pocket,Tasche,poche,tasca
bolso,bag,Tasche,sac,borsa
bolsa,bag,Tasche,sac,borsa
paraguas,umbrella,Regenschirm,parapluie,ombrello
parasol,parasol,Sonnenschirm,parasol,parasole
pantalla,screen,Bildschirm,filtrer,schermo
pomo,knob,Knopf,bouton,pomello
llave,key,Taste,clé,chiave
trancar (verbo),trancar (verb),Trancar (Verb),Trancar (verbe),Trancar (verbo)
arma,weapon,Waffe,arme,arma
escultura,sculpture,Skulptur,sculpture,scultura
libro,book,Buch,livre,libro
revista,magazine,Zeitschrift,Revue,rivista
cuadro,chart,Diagramm,peinture,grafico
grabado,Recorded,Verzeichnet,Enregistré,Registrato
electricidad,electricity,Elektrizität,électricité,elettricità
corriente,current,aktuell,actuel,attuale
base,base,Base,base,base
pata,paw,Pfote,patte,zampa
conexión,Connection,Verbindung,Connexion,Connessione
Ropa,Clothes,Kleidung,Vêtements,Vestiti
ropa,clothes,Kleidung,vêtements,vestiti
prenda,garment,Kleidungsstück,vêtement,capo
manga,sleeve,Ärmel,manche,manica
"solapa, cuello","flap, neck","Klatschen, Hals","rabat, cou","lembo, collo"
botón,button,Taste,bouton,pulsante
"cremallera, cierre","Zipper, closure",Reißverschluss,"Fermeture éclair, fermeture","Zipper, chiusura"
cinturón,belt,Gürtel,ceinture,cintura
zapato,shoe,Schuh,chaussure,scarpa
gafas,glasses,Gläser,lunettes,occhiali
pantalón,pants,Hose,pantalon,pantaloni
camisa,shirt,Shirt,chemise,camicia
camiseta,t-shirt,T-Shirt,T-shirt,maglietta
zapatilla,shoe,Schuh,chaussure,scarpa
cordones,laces,Schnürsenkel,lacets,lacci
abrigo,coat,Mantel,manteau,cappotto
chaqueta,jacket,Jacke,blouson,giacca
calcetines,socks,Socken,chaussettes,calzini
"bragas, calzón","Panties, underwear","Höschen, Unterwäsche","Culotte, sous-vêtements","Mutandine, biancheria intima"
calzoncillo,underwear,Unterwäsche,sous-vêtement,biancheria intima
"sujetador, sostén","bra, support","BH, Unterstützung","soutien-gorge, support","reggiseno, supporto"
falda,skirt,Rock,jupe,gonna
Transportes,Transportation,Transport,Transport,Trasporto
"transporte, transporte público, transporte privado","Transportation, public transport, private transportation","Transport, öffentliche Verkehrsmittel, privater Transportmittel","Transport, transports publics, transport privé","Trasporti, trasporti pubblici, trasporti privati"
"tránsito, tráfico","Traffic, traffic","Verkehr, Verkehr","Trafic, trafic","Traffico, traffico"
vehículo,vehicle,Fahrzeug,véhicule,veicolo
"tren, ferrocarril","train, rail","Zug, Schiene","train, rail","treno, binario"
"subterráneo, metro","Underground, Metro","Untergrund, Metro","Underground, métro","Underground, Metro"
camino,path,Weg,chemin,sentiero
vía,via,über,via,attraverso
ruta,route,Route,itinéraire,itinerario
calle,street,Straße,rue,strada
carretera,road,Straße,route,strada
autopista,highway,Autobahn,Autoroute,autostrada
avenida,avenue,Allee,rue,viale
"estación, parada","Station, stop","Station, Stopp","Station, arrêt","Stazione, fermati"
avión,plane,Ebene,avion,aereo
aeropuerto,airport,Flughafen,aéroport,aeroporto
"automóvil, coche, auto","Auto, car, car","Auto, Auto, Auto","Auto, voiture, voiture","Auto, macchina, macchina"
"bus, autobús, ómnibus","Bus, bus, buse","Bus, Bus, Busch","Bus, bus, buse","Autobus, autobus, buse"
ambulancia,ambulance,Krankenwagen,ambulance,ambulanza
Lenguaje,Language,Sprache,Langue,Lingua
número,number,Nummer,le numéro,numero
alfabeto,alphabet,Alphabet,alphabet,alfabeto
símbolo,symbol,Symbol,symbole,simbolo
punto,spot,Stelle,place,macchiare
coma,eat,essen,manger,mangiare
"raíz, origen, fuente","root, origin, source","Wurzel, Herkunft, Quelle","racine, origine, source","radice, origine, fonte"
papel,paper,Papier,papier,carta
carta,letter,Brief,lettre,lettera
comunicación,communication,Kommunikation,communication,comunicazione
expresión,expression,Ausdruck,expression,espressione
voz,voice,Stimme,voix,voce
texto,text,Text,texte,testo
periodismo,journalism,Journalismus,journalisme,giornalismo
"periódico, diario",daily newspaper,Tageszeitung,journal quotidien,giornale quotidiano
diccionario,dictionary,Wörterbuch,dictionnaire,dizionario
documento,document,dokumentieren,document,documento
informe,report,Bericht,rapport,rapporto
noticia,news,Nachricht,nouvelles,notizia
"computadora, ordenador","computer, computer","Computer, Computer","ordinateur, ordinateur","computer, computer"
idioma extranjero,Foreign language,Fremdsprache,langue étrangère,Lingua straniera
japonés,Japanese,japanisch,Japonais,giapponese
inglés,English,Englisch,Anglais,Inglese
chino,Chinese,Chinesisch,Chinois,Cinese
alemán,German,Deutsch,Allemand,Tedesco
español,Spanish,Spanisch,Espagnol,spagnolo
francés,French,Französisch,Français,francese
Colores,Colors,Farben,Couleurs,Colori
color,color,Farbe,couleur,colore
blanco,white,Weiss,blanc,bianco
negro,black,Schwarz,noir,nero
gris,grey,grau,gris,grigio
rojo,red,Rot,rouge,rosso
"naranja, anaranjado",Orange orange,Orange Orange,Orange orange,Arancione arancione
amarillo,yellow,Gelb,jaune,giallo
verde,green,Grün,vert,verde
celeste,sky blue,Himmelblau,bleu ciel,cielo blu
azul,blue,Blau,bleu,blu
violeta,violet,violett,violette,Viola
"rosa, rosado","Rose, pink",Rosa,Rose,Rosa Rosa
"marrón, café","Brown, coffee","Braun, Kaffee","Brun, café","Brown, caffè"
Actividades,Activities,Aktivitäten,Activités,Attività
cultura,culture,Kultur,culture,cultura
autor,author,Autor,auteur,autore
actuación,performance,Leistung,performance,prestazione
espectador,viewer,Zuschauer,spectateur,spettatore
espectáculo,show,zeigen,montrer,spettacolo
entretenimiento,entertainment,Unterhaltung,divertissement,divertimento
arte,art,Kunst,art,arte
cine,cinema,Kino,cinéma,cinema
dibujo,drawing,Zeichnung,dessin,disegno
pintura,paint,malen,peindre,colore
música,music,Musik,Musique,musica
religión,religion,Religion,religion,religione
dios,God,Gott,Dieu,Dio
artículo,article,Artikel,article,articolo
educación,education,Ausbildung,éducation,formazione scolastica
escuela,school,Schule,école,scuola
instituto,Institute,Institut,lycée,Istituto
colegio,school,Schule,collège,scuola
universidad,university,Universität,l'universitè,Università
clase,class,Klasse,classe,classe
curso,course,Kurs,cours,corso
estudio,study,lernen,étude,studio
formación,training,Ausbildung,entraînement,formazione
análisis,analysis,Analyse,analyse,analisi
investigación,investigation,Untersuchung,enquête,indagine
conocimiento,knowledge,Wissen,connaissance,conoscenza
idea,idea,Idee,idée,idea
información,information,Information,information,informazione
dato,fact,Tatsache,fait,fatto
forma,shape,Form,forme,forma
manera,manner,Benehmen,manière,maniera
modo,mode,Modus,mode,modalità
estilo,style,Stil,style,stile
figura,figure,Figur,chiffre,figura
elemento,element,Element,élément,elemento
"uso, utilización","Use, use","Verwendung, Verwendung","Utiliser, utiliser","Usa, usa"
ciencia,science,Wissenschaft,science,scienza
aritmética,arithmetic,Arithmetik,arithmétique,aritmetica
historia,history,Geschichte,histoire,storia
geografía,geography,Erdkunde,géographie,geografia
educación física,physical education,"Bewegungserziehung, Körpererziehung, Leibeserziehung",éducation physique,educazione fisica
deporte,sport,Sport,sport,sport
carrera,career,Karriere,carrière,carriera
"competición, competencia","competition, competition","Wettbewerb, Wettbewerb","compétition, compétition","competizione, competizione"
ayuda,aid,Hilfe,aide,aiuto
favor,favor,favorisieren,service,favore
apoyo,support,Unterstützung,support,supporto
búsqueda,search,suchen,Recherche,ricerca
duda,doubt,zweifeln,doute,dubbio
pregunta,ask,fragen,demander,chiedere
respuesta,answer,antworten,répondre,risposta
cuestión,question,Frage,question,domanda
solicitud,application,Anwendung,application,applicazione
decisión,decision,Entscheidung,décision,decisione
elección,choice,Auswahl,choix,scelta
consejo,advice,Beratung,Conseil,consiglio
sugerencia,suggestion,Anregung,suggestion,suggerimento
orden,order,Befehl,commande,ordine
control,control,Kontrolle,contrôle,controllo
sistema,system,System,système,sistema
trabajo,job,Arbeit,emploi,lavoro
empleo,employment,Anstellung,emploi,occupazione
profesión,profession,Beruf,profession,professione
esfuerzo,effort,Bemühung,effort,sforzo
Números,Numbers,Zahlen,Nombres,Numeri
cero,zero,null,zéro,zero
uno,one,eins,un,uno
dos,two,zwei,deux,due
tres,three,drei,trois,tre
cuatro,four,vier,quatre,quattro
cinco,five,fünf,cinq,cinque
seis,six,sechs,six,sei
siete,seven,Sieben,sept,Sette
ocho,eight,acht,huit,otto
nueve,nine,neun,neuf,nove
diez,ten,zehn,dix,dieci
"cien, ciento",hundred percent,hundert Prozent,cent pour cent,cento per cento
mil,thousand,tausend,mille,mille
millón,million,Million,million,milione
Espacio y cantidad,Space and quantity,Raum und Menge,Espace et quantité,Spazio e quantità
lugar,place,Ort,lieu,posto
posición,position,Position,position,posizione
movimiento,motion,Bewegung,mouvement,movimento
velocidad,speed,Geschwindigkeit,vitesse,velocità
aceleración,acceleration,Beschleunigung,accélération,accelerazione
dirección,address,Adresse,adresse,indirizzo
tamaño,size,Größe,taille,misurare
"largo, longitud","length, length",Länge Länge,"longueur, longueur","lunghezza, lunghezza"
